FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,1060,940,50.50000000,0.14270699,92.00000000,-0.00049325,3.04400206,0.00009317,-0.00040009
2,1060,950,49.20000000,0.15200105,93.47000122,-0.00086755,3.01723576,-0.00033209,-0.00119965
2,1060,960,51.60000000,0.15806007,95.01999664,-0.00081935,3.00945640,-0.00038090,-0.00120026
2,1060,970,51.70000000,0.15490928,96.59999847,0.00050871,3.01962399,-0.00050902,-0.00000031
2,1060,980,55.10000000,0.14245105,98.08999634,0.00050183,3.06482029,-0.00050274,-0.00000092
2,1060,990,50.40000000,0.13431945,99.48999786,0.00124163,3.09717917,-0.00004199,0.00119965
2,1060,1000,54.00000000,0.11943273,100.77999878,0.00240977,3.13325763,0.00039022,0.00279999
2,1060,1010,50.10000000,0.09781466,101.87000275,0.00233395,3.19257188,0.00046665,0.00280060
2,1060,1020,48.30000000,0.07551982,102.73000336,0.00192678,3.27414227,0.00087382,0.00280060
2,1080,1020,47.90000000,0.08281635,102.83000183,0.00198302,3.15364289,0.00041718,0.00240021
2,1080,1010,51.80000000,0.10568002,101.88999939,0.00242777,3.10387373,0.00077199,0.00319977
2,1080,1000,50.10000000,0.12859999,100.70999908,0.00207538,3.07194090,0.00032422,0.00239960
2,1080,990,51.60000000,0.14572802,99.33000183,0.00173821,3.03921103,0.00106208,0.00280029
2,1080,980,51.10000000,0.15722543,97.80000305,0.00051774,3.00237107,0.00068252,0.00120026
2,1080,970,50.50000000,0.16025826,96.19999695,-0.00083252,2.99882317,0.00043183,-0.00040070
2,1080,960,54.80000000,0.15274312,94.62999725,-0.00132220,3.03093696,-0.00027844,-0.00160065
2,1080,950,47.40000000,0.14252961,93.16000366,-0.00048002,3.05787086,0.00008085,-0.00039917
2,1080,940,50.70000000,0.13044176,91.76999664,-0.00207015,3.08820844,-0.00033005,-0.00240021
2,1080,930,52.20000000,0.10172572,90.58000183,-0.00387755,3.18078923,-0.00092226,-0.00479980
2,1100,980,47.10000000,0.16362087,97.30999756,-0.00073688,3.02625632,-0.00126354,-0.00200043
2,1100,990,50.00000000,0.15925112,98.95999908,0.00170337,3.05431533,-0.00090350,0.00079987
2,1100,1000,53.00000000,0.14127825,100.48000336,0.00245747,3.08531308,-0.00085683,0.00160065
2,1100,1010,48.70000000,0.11747285,101.76999664,0.00161938,3.12464142,-0.00081982,0.00079956
2,1100,1020,46.20000000,0.09578991,102.84999847,0.00237079,3.18323588,0.00002881,0.00239960
2,1060,830,47.60000000,0.08618558,91.87000275,0.00144458,4.99386787,0.00135571,0.00280029
2,1060,840,48.00000000,0.09630361,91.54000092,0.00209062,5.18529749,0.00190963,0.00400024
2,1060,850,52.00000000,0.11613683,90.95999908,0.00270361,5.38847303,0.00209619,0.00479980
2,1060,860,46.50000000,0.12868750,90.11000061,0.00050670,5.49231720,0.00149342,0.00200012
2,1080,920,55.20000000,0.06410725,89.76999664,-0.00230362,3.45842361,-0.00129715,-0.00360077
2,1080,910,60.30000000,0.04277560,89.34999847,0.00007929,4.05953312,-0.00247950,-0.00240021
